// Type | Cost | Tier 
//Player Upgrades 1 = Rotate Speed, 2 = Fire Rate, 3 = Damage, 4 = Defense, 5 = Bullets Fired, 6 = Idle Money
//Mouse Upgrades 11 = Damage, 12 = AOE
    1,      1,      1
    1,      10,      2
    1,      100,      3
    1,      1000,      4
    1,      5000,      5
 	2,      1,      1
    2,      10,      2
    2,      100,      3
    2,      1000,      4
    2,      5000,      5
	3,      1,      1
    3,      10,      2
    3,      100,      3
    3,      1000,      4
    3,      5000,      5
	4,      1,      1
    4,      10,      2
    4,      100,      3
    4,      1000,      4
    4,      5000,      5
	5,      1,      1
    5,      10,      2
    5,      100,      3
    5,      1000,      4
    5,      5000,      5
	6,      1,      1
    6,      10,      2
    6,      100,      3
    6,      1000,      4
    6,      5000,      5
	11,      1,      1
    11,      10,      2
    11,      100,      3
    11,      1000,      4
    11,      5000,      5
	12,      1,      1
    12,      10,      2
    12,      100,      3
    12,      1000,      4
    12,      5000,      5
